name	kanGebiedsOptie	GasNodig	categorie	Label	min_schillabel	min_schillabel_specifiek	RVb	RVp	TWb	TWp	KDb	KDp
LweWP_zKD	0	0	electric	LweWP_zKD	B	N	eWP_lw	eWP_lw	eWP_lw	eWP_lw	geen	geen
LweWP_wKD	0	0	electric	LweWP_wKD	B	N	eWP_lw	eWP_lw	eWP_lw	eWP_lw	eWP_lw	eWP_lw
BweWP_zKD	0	0	electric	BweWP_zKD	B	N	eWP_bw	eWP_bw	eWP_bw	eWP_bw	geen	geen
BweWP_wKD	0	0	electric	BweWP_wKD	B	N	eWP_bw	eWP_bw	eWP_bw	eWP_bw	eWP_bw	eWP_bw
LleWP_zKD	0	0	electric	LleWP_zKD	B	B	eWP_ll	eWP_ll	eWP_ll	eWP_ll	geen	geen
LleWP_wKD	0	0	electric	LleWP_wKD	B	B	eWP_ll	eWP_ll	eWP_ll	eWP_ll	eWP_ll	eWP_ll
hEWV_TWg_zKD	0	1	hybride	hEWV_TWg_zKD	D	D	EWVklein	hHR	hHR	hHR	geen	geen
hEWV_TWg_vKD	0	1	hybride	hEWV_TWg_vKD	D	D	EWVklein	hHR	hHR	hHR	AirCoVast	AirCoVast
hEWV_TWg_mKD	0	1	hybride	hEWV_TWg_mKD	D	D	EWVklein	hHR	hHR	hHR	AirCoMobiel	AirCoMobiel
hEWV_TWeb_zKD	0	1	hybride	hEWV_TWeb_zKD	D	D	EWVklein	hHR	eBoiler	eBoiler	geen	geen
hEWV_TWeb_vKD	0	1	hybride	hEWV_TWeb_vKD	D	D	EWVklein	hHR	eBoiler	eBoiler	AirCoVast	AirCoVast
hEWV_TWeb_mKD	0	1	hybride	hEWV_TWeb_mKD	D	D	EWVklein	hHR	eBoiler	eBoiler	AirCoMobiel	AirCoMobiel
EWV_TWeb_zKD	0	0	electric	EWV_TWeb_zKD	A	A	EWVgroot	EWVgroot	eBoiler	eBoiler	geen	geen
EWV_TWeb_vKD	0	0	electric	EWV_TWeb_vKD	A	A	EWVgroot	EWVgroot	eBoiler	eBoiler	AirCoVast	AirCoVast
EWV_TWeb_mKD	0	0	electric	EWV_TWeb_mKD	A	A	EWVgroot	EWVgroot	eBoiler	eBoiler	AirCoMobiel	AirCoMobiel
IR_TWeb_zKD	0	0	electric	IR_TWeb_zKD	A	A	IR	IR	eBoiler	eBoiler	geen	geen
IR_TWeb_vKD	0	0	electric	IR_TWeb_vKD	A	A	IR	IR	eBoiler	eBoiler	AirCoVast	AirCoVast
IR_TWeb_mKD	0	0	electric	IR_TWeb_mKD	A	A	IR	IR	eBoiler	eBoiler	AirCoMobiel	AirCoMobiel
hEWV_hTWds_zKD	0	1	hybride	hEWV_hTWds_zKD	D	D	EWVklein	hHR	DS_douche	hHR	geen	geen
hEWV_hTWds_vKD	0	1	hybride	hEWV_hTWds_vKD	D	D	EWVklein	hHR	DS_douche	hHR	AirCoVast	AirCoVast
hEWV_hTWds_mKD	0	1	hybride	hEWV_hTWds_mKD	D	D	EWVklein	hHR	DS_douche	hHR	AirCoMobiel	AirCoMobiel
hEWV_TWds_zKD	0	1	hybride	hEWV_TWds_zKD	D	D	EWVklein	hHR	DS_douche	DS_keuken	geen	geen
hEWV_TWds_vKD	0	1	hybride	hEWV_TWds_vKD	D	D	EWVklein	hHR	DS_douche	DS_keuken	AirCoVast	AirCoVast
hEWV_TWds_mKD	0	1	hybride	hEWV_TWds_mKD	D	D	EWVklein	hHR	DS_douche	DS_keuken	AirCoMobiel	AirCoMobiel
EWV_TWds_zKD	0	0	electric	EWV_TWds_zKD	A	A	EWVgroot	EWVgroot	DS_douche	DS_keuken	geen	geen
EWV_TWds_vKD	0	0	electric	EWV_TWds_vKD	A	A	EWVgroot	EWVgroot	DS_douche	DS_keuken	AirCoVast	AirCoVast
EWV_TWds_mKD	0	0	electric	EWV_TWds_mKD	A	A	EWVgroot	EWVgroot	DS_douche	DS_keuken	AirCoMobiel	AirCoMobiel
IR_TWds_zKD	0	0	electric	IR_TWds_zKD	A	A	IR	IR	DS_douche	DS_keuken	geen	geen
IR_TWds_vKD	0	0	electric	IR_TWds_vKD	A	A	IR	IR	DS_douche	DS_keuken	AirCoVast	AirCoVast
IR_TWds_mKD	0	0	electric	IR_TWds_mKD	A	A	IR	IR	DS_douche	DS_keuken	AirCoMobiel	AirCoMobiel
HWP_zKD_TWg	0	1	hybride	HWP_zKD_TWg	D	D	BasisHWP_w	hHR	hHR	hHR	geen	geen
HWP_wKD_TWg	0	1	hybride	HWP_wKD_TWg	D	D	BasisHWP_w	hHR	hHR	hHR	BasisHWP_w	BasisHWP_w
HWP_zKD_TWeb	0	1	hybride	HWP_zKD_TWeb	D	D	BasisHWP_w	hHR	eBoiler	eBoiler	geen	geen
